date,ageSib,ethnicityCensus,geog,datacol
2014,0,0,1,2204
2014,0,0,2,1980
2014,0,0,3,21450
2014,0,0,4,7644
2014,0,0,5,5732
2014,0,0,6,51499
2014,0,0,7,270
2014,0,0,8,10697
2014,0,0,9,4332
2014,0,0,10,446
2014,0,0,11,10439
2014,0,0,12,134
2014,0,0,13,10501
2014,0,0,14,6532
2014,0,0,15,7478
2014,0,0,16,1912
2014,0,0,17,212449
2014,0,0,18,26672
2014,0,0,19,3366
2014,0,0,20,1717
2014,0,0,21,7370
2014,0,0,22,891
2014,0,0,23,5034
2014,0,0,24,3775
2014,0,0,25,1376
2014,0,0,26,1029
2014,0,0,27,94057
2014,0,0,28,1104
2014,0,0,29,11847
2014,0,0,30,949
2014,0,0,31,85369
2014,0,0,32,51929
2014,0,0,33,4055
2014,0,0,34,28501
2014,0,0,35,216
2014,0,0,36,5599
2014,0,0,37,19992
2014,0,0,38,3014
2014,0,0,39,29347
2014,0,1,1,2
2014,0,1,2,0
2014,0,1,3,161
2014,0,1,4,16
2014,0,1,5,355
2014,0,1,6,410
2014,0,1,7,0
2014,0,1,8,108
2014,0,1,9,2
2014,0,1,10,57
2014,0,1,11,5
2014,0,1,12,0
2014,0,1,13,53
2014,0,1,14,285
2014,0,1,15,28
2014,0,1,16,6
2014,0,1,17,1560
2014,0,1,18,356
2014,0,1,19,0
2014,0,1,20,0
2014,0,1,21,60
2014,0,1,22,0
2014,0,1,23,171
2014,0,1,24,427
2014,0,1,25,8
2014,0,1,26,12
2014,0,1,27,1185
2014,0,1,28,0
2014,0,1,29,223
2014,0,1,30,0
2014,0,1,31,1068
2014,0,1,32,816
2014,0,1,33,195
2014,0,1,34,348
2014,0,1,35,0
2014,0,1,36,4
2014,0,1,37,520
2014,0,1,38,0
2014,0,1,39,1000
2014,0,2,1,0
2014,0,2,2,0
2014,0,2,3,548
2014,0,2,4,7
2014,0,2,5,27
2014,0,2,6,2400
2014,0,2,7,0
2014,0,2,8,50
2014,0,2,9,0
2014,0,2,10,0
2014,0,2,11,104
2014,0,2,12,0
2014,0,2,13,11
2014,0,2,14,32
2014,0,2,15,279
2014,0,2,16,0
2014,0,2,17,34581
2014,0,2,18,1184
2014,0,2,19,8
2014,0,2,20,0
2014,0,2,21,6
2014,0,2,22,0
2014,0,2,23,5
2014,0,2,24,0
2014,0,2,25,0
2014,0,2,26,0
2014,0,2,27,5342
2014,0,2,28,0
2014,0,2,29,143
2014,0,2,30,0
2014,0,2,31,8502
2014,0,2,32,1032
2014,0,2,33,0
2014,0,2,34,1585
2014,0,2,35,0
2014,0,2,36,0
2014,0,2,37,627
2014,0,2,38,189
2014,0,2,39,251
2014,0,3,1,0
2014,0,3,2,0
2014,0,3,3,239
2014,0,3,4,0
2014,0,3,5,0
2014,0,3,6,1151
2014,0,3,7,0
2014,0,3,8,12
2014,0,3,9,0
2014,0,3,10,0
2014,0,3,11,65
2014,0,3,12,0
2014,0,3,13,46
2014,0,3,14,0
2014,0,3,15,188
2014,0,3,16,0
2014,0,3,17,15108
2014,0,3,18,786
2014,0,3,19,0
2014,0,3,20,0
2014,0,3,21,0
2014,0,3,22,0
2014,0,3,23,0
2014,0,3,24,0
2014,0,3,25,0
2014,0,3,26,0
2014,0,3,27,7417
2014,0,3,28,0
2014,0,3,29,25
2014,0,3,30,0
2014,0,3,31,2607
2014,0,3,32,809
2014,0,3,33,0
2014,0,3,34,954
2014,0,3,35,0
2014,0,3,36,1
2014,0,3,37,125
2014,0,3,38,0
2014,0,3,39,174
2014,0,4,1,0
2014,0,4,2,0
2014,0,4,3,0
2014,0,4,4,0
2014,0,4,5,0
2014,0,4,6,344
2014,0,4,7,0
2014,0,4,8,0
2014,0,4,9,0
2014,0,4,10,0
2014,0,4,11,0
2014,0,4,12,0
2014,0,4,13,0
2014,0,4,14,0
2014,0,4,15,12
2014,0,4,16,0
2014,0,4,17,1812
2014,0,4,18,216
2014,0,4,19,0
2014,0,4,20,0
2014,0,4,21,0
2014,0,4,22,0
2014,0,4,23,0
2014,0,4,24,0
2014,0,4,25,0
2014,0,4,26,0
2014,0,4,27,1424
2014,0,4,28,0
2014,0,4,29,0
2014,0,4,30,0
2014,0,4,31,384
2014,0,4,32,197
2014,0,4,33,0
2014,0,4,34,194
2014,0,4,35,0
2014,0,4,36,0
2014,0,4,37,13
2014,0,4,38,0
2014,0,4,39,0
2014,0,5,1,1342
2014,0,5,2,1980
2014,0,5,3,17430
2014,0,5,4,5681
2014,0,5,5,5055
2014,0,5,6,43651
2014,0,5,7,270
2014,0,5,8,9741
2014,0,5,9,3342
2014,0,5,10,389
2014,0,5,11,6013
2014,0,5,12,134
2014,0,5,13,7278
2014,0,5,14,5684
2014,0,5,15,6632
2014,0,5,16,1888
2014,0,5,17,140373
2014,0,5,18,22456
2014,0,5,19,3192
2014,0,5,20,1620
2014,0,5,21,6751
2014,0,5,22,891
2014,0,5,23,4505
2014,0,5,24,2690
2014,0,5,25,1294
2014,0,5,26,1017
2014,0,5,27,69038
2014,0,5,28,1097
2014,0,5,29,9710
2014,0,5,30,949
2014,0,5,31,65597
2014,0,5,32,46822
2014,0,5,33,3790
2014,0,5,34,23407
2014,0,5,35,216
2014,0,5,36,4888
2014,0,5,37,17232
2014,0,5,38,2795
2014,0,5,39,17284
2014,0,6,1,846
2014,0,6,2,0
2014,0,6,3,2507
2014,0,6,4,1803
2014,0,6,5,97
2014,0,6,6,2016
2014,0,6,7,0
2014,0,6,8,495
2014,0,6,9,951
2014,0,6,10,0
2014,0,6,11,4077
2014,0,6,12,0
2014,0,6,13,2835
2014,0,6,14,360
2014,0,6,15,87
2014,0,6,16,0
2014,0,6,17,10951
2014,0,6,18,437
2014,0,6,19,147
2014,0,6,20,84
2014,0,6,21,400
2014,0,6,22,0
2014,0,6,23,206
2014,0,6,24,593
2014,0,6,25,68
2014,0,6,26,0
2014,0,6,27,4441
2014,0,6,28,7
2014,0,6,29,1464
2014,0,6,30,0
2014,0,6,31,4237
2014,0,6,32,740
2014,0,6,33,0
2014,0,6,34,780
2014,0,6,35,0
2014,0,6,36,632
2014,0,6,37,908
2014,0,6,38,0
2014,0,6,39,9694
2014,0,8,1,14
2014,0,8,2,0
2014,0,8,3,565
2014,0,8,4,137
2014,0,8,5,198
2014,0,8,6,1527
2014,0,8,7,0
2014,0,8,8,291
2014,0,8,9,37
2014,0,8,10,0
2014,0,8,11,175
2014,0,8,12,0
2014,0,8,13,278
2014,0,8,14,171
2014,0,8,15,252
2014,0,8,16,18
2014,0,8,17,8064
2014,0,8,18,1237
2014,0,8,19,19
2014,0,8,20,13
2014,0,8,21,153
2014,0,8,22,0
2014,0,8,23,147
2014,0,8,24,65
2014,0,8,25,6
2014,0,8,26,0
2014,0,8,27,5210
2014,0,8,28,0
2014,0,8,29,282
2014,0,8,30,0
2014,0,8,31,2974
2014,0,8,32,1513
2014,0,8,33,70
2014,0,8,34,1233
2014,0,8,35,0
2014,0,8,36,74
2014,0,8,37,567
2014,0,8,38,30
2014,0,8,39,944
2014,0,9,1,1655
2014,0,9,2,6
2014,0,9,3,4970
2014,0,9,4,2831
2014,0,9,5,305
2014,0,9,6,4510
2014,0,9,7,0
2014,0,9,8,1018
2014,0,9,9,1698
2014,0,9,10,0
2014,0,9,11,6313
2014,0,9,12,0
2014,0,9,13,5058
2014,0,9,14,759
2014,0,9,15,462
2014,0,9,16,22
2014,0,9,17,22871
2014,0,9,18,1757
2014,0,9,19,330
2014,0,9,20,210
2014,0,9,21,824
2014,0,9,22,0
2014,0,9,23,504
2014,0,9,24,1013
2014,0,9,25,154
2014,0,9,26,0
2014,0,9,27,10104
2014,0,9,28,57
2014,0,9,29,2789
2014,0,9,30,10
2014,0,9,31,9203
2014,0,9,32,2488
2014,0,9,33,52
2014,0,9,34,2284
2014,0,9,35,0
2014,0,9,36,1589
2014,0,9,37,2038
2014,0,9,38,62
2014,0,9,39,16353
2014,0,10,1,0
2014,0,10,2,35
2014,0,10,3,959
2014,0,10,4,35
2014,0,10,5,539
2014,0,10,6,4311
2014,0,10,7,12
2014,0,10,8,338
2014,0,10,9,0
2014,0,10,10,62
2014,0,10,11,125
2014,0,10,12,3
2014,0,10,13,80
2014,0,10,14,398
2014,0,10,15,518
2014,0,10,16,56
2014,0,10,17,44106
2014,0,10,18,2743
2014,0,10,19,21
2014,0,10,20,0
2014,0,10,21,159
2014,0,10,22,16
2014,0,10,23,238
2014,0,10,24,408
2014,0,10,25,8
2014,0,10,26,36
2014,0,10,27,11995
2014,0,10,28,0
2014,0,10,29,433
2014,0,10,30,34
2014,0,10,31,12138
2014,0,10,32,3232
2014,0,10,33,285
2014,0,10,34,3042
2014,0,10,35,2
2014,0,10,36,22
2014,0,10,37,1550
2014,0,10,38,232
2014,0,10,39,1433
2014,0,11,1,660
2014,0,11,2,1939
2014,0,11,3,15311
2014,0,11,4,4793
2014,0,11,5,4888
2014,0,11,6,41584
2014,0,11,7,258
2014,0,11,8,9331
2014,0,11,9,2653
2014,0,11,10,384
2014,0,11,11,3946
2014,0,11,12,131
2014,0,11,13,5350
2014,0,11,14,5375
2014,0,11,15,6319
2014,0,11,16,1834
2014,0,11,17,130780
2014,0,11,18,21424
2014,0,11,19,3032
2014,0,11,20,1517
2014,0,11,21,6387
2014,0,11,22,876
2014,0,11,23,4292
2014,0,11,24,2354
2014,0,11,25,1219
2014,0,11,26,994
2014,0,11,27,64893
2014,0,11,28,1049
2014,0,11,29,8606
2014,0,11,30,905
2014,0,11,31,61545
2014,0,11,32,45427
2014,0,11,33,3718
2014,0,11,34,22276
2014,0,11,35,215
2014,0,11,36,4014
2014,0,11,37,16291
2014,0,11,38,2720
2014,0,11,39,11456
2014,0,12,1,0
2014,0,12,2,0
2014,0,12,3,210
2014,0,12,4,0
2014,0,12,5,0
2014,0,12,6,1094
2014,0,12,7,0
2014,0,12,8,10
2014,0,12,9,0
2014,0,12,10,0
2014,0,12,11,55
2014,0,12,12,0
2014,0,12,13,13
2014,0,12,14,0
2014,0,12,15,179
2014,0,12,16,0
2014,0,12,17,14692
2014,0,12,18,748
2014,0,12,19,0
2014,0,12,20,0
2014,0,12,21,0
2014,0,12,22,0
2014,0,12,23,0
2014,0,12,24,0
2014,0,12,25,0
2014,0,12,26,0
2014,0,12,27,7065
2014,0,12,28,0
2014,0,12,29,19
2014,0,12,30,0
2014,0,12,31,2483
2014,0,12,32,782
2014,0,12,33,0
2014,0,12,34,899
2014,0,12,35,0
2014,0,12,36,0
2014,0,12,37,113
2014,0,12,38,0
2014,0,12,39,105
2014,1,0,1,449
2014,1,0,2,460
2014,1,0,3,4748
2014,1,0,4,1584
2014,1,0,5,1213
2014,1,0,6,11016
2014,1,0,7,61
2014,1,0,8,2361
2014,1,0,9,802
2014,1,0,10,86
2014,1,0,11,2435
2014,1,0,12,15
2014,1,0,13,2321
2014,1,0,14,1484
